poll_id,poll_type,nb_people,start_date,end_date,folder,population,pdf_url
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,all,
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,left,
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,macron,
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,absentionists,
elabe_202407,pt2,1002,2024-07-10,2024-07-11,polls/elabe_202407,farright,
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,all,
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,left,
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,macron,
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,absentionists,
elabe_202501,pt2,1001,2025-01-07,2025-01-08,polls/elabe_202501,farright,
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,all,
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,left,
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,macron,
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,absentionists,
elabe_202502,pt2,1000,2025-02-11,2025-02-12,polls/elabe_202502,farright,
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,all,
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,left,
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,macron,
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,absentionists,
elabe_202503,pt2,1016,2025-03-04,2025-03-05,polls/elabe_202503,farright,
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,all,
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,left,
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,macron,
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,absentionists,
elabe_202504,pt2,1000,2025-04-01,2025-04-02,polls/elabe_202504,farright,
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,all,
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,left,
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,macron,
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,absentionists,
elabe_202505,pt2,1002,2025-04-29,2025-04-30,polls/elabe_202505,farright,
ipsos_202504,pt1,1000,2025-04-09,2025-04-10,polls/ipsos_202504,all,
ipsos_202503,pt1,1000,2025-03-12,2025-03-14,polls/ipsos_202503,all,
ipsos_202502,pt1,1000,2025-02-12,2025-02-13,polls/ipsos_202502,all,
ipsos_202501,pt1,1000,2025-01-08,2025-01-09,polls/ipsos_202501,all,
ipsos_202411,pt1,1000,2024-11-06,2024-11-07,polls/ipsos_202411,all,
ipsos_202410,pt1,1000,2024-10-09,2024-10-10,polls/ipsos_202410,all,
ipsos_202409,pt1,1000,2024-09-11,2024-09-13,polls/ipsos_202409,all,
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,all,
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,left,
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,macron,
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,absentionists,
elabe_202412,pt2,1000,2024-12-10,2024-12-11,polls/elabe_202412,farright,
ipsos_202505,pt1,1000,2025-05-14,2025-05-16,polls/ipsos_202505,all,
ipsos_202506,pt1,1003,2025-06-11,2025-06-13,polls/ipsos_202506,all,
ipsos_202507,pt1,1000,2025-07-09,2025-07-10,polls/ipsos_202507,all,
ipsos_202509,pt1,1000,2025-09-11,2025-09-12,polls/ipsos_202509,all,
ipsos_202510,pt1,1000,2025-10-09,2025-10-10,polls/ipsos_202510,all,
ifop_202401,pt3,1006,2024-01-17,2024-01-18,polls/ifop_202401,all,https://www.ifop.com/wp-content/uploads/2024/01/tableau-de-bord-des-personnalites-janvier-2024.pdf
ifop_202402,pt3,1004,2024-02-14,2024-02-15,polls/ifop_202402,all,https://www.ifop.com/wp-content/uploads/2024/02/tableau-de-bord-des-personnalites-fevrier-2024.pdf
ifop_202403,pt3,1012,2024-03-06,2024-03-07,polls/ifop_202403,all,https://www.ifop.com/wp-content/uploads/2024/03/tableau-de-bord-des-personnalites-mars-2024.pdf
ifop_202404,pt3,1017,2024-04-10,2024-04-11,polls/ifop_202404,all,https://www.ifop.com/wp-content/uploads/2024/04/tableau-de-bord-des-personnalites-avril-2024.pdf
ifop_202405,pt3,1009,2024-05-15,2024-05-16,polls/ifop_202405,all,https://www.ifop.com/wp-content/uploads/2024/05/tableau-de-bord-des-personnalites-mai-2024.pdf
ifop_202406,pt3,1004,2024-06-17,2024-06-20,polls/ifop_202406,all,https://www.ifop.com/wp-content/uploads/2024/06/tableau-de-bord-des-personnalites-juin-2024.pdf
ifop_202409,pt3,1003,2024-09-12,2024-09-14,polls/ifop_202409,all,https://www.ifop.com/wp-content/uploads/2024/09/tableau-de-bord-des-personnalites-septembre-2024.pdf
ifop_202410,pt3,1008,2024-10-10,2024-10-14,polls/ifop_202410,all,https://www.ifop.com/wp-content/uploads/2024/10/tableau-de-bord-des-personnalites-octobre-2024.pdf
ifop_202411,pt3,1009,2024-11-13,2024-11-14,polls/ifop_202411,all,https://www.ifop.com/wp-content/uploads/2024/11/tableau-de-bord-des-personnalites-novembre-2024.pdf
ifop_202412,pt3,1005,2024-12-11,2024-12-12,polls/ifop_202412,all,https://www.ifop.com/wp-content/uploads/2024/12/tableau-de-bord-des-personnalites-decembre-2024.pdf
ifop_202501,pt3,1012,2025-01-15,2025-01-16,polls/ifop_202501,all,https://www.ifop.com/wp-content/uploads/2025/01/tableau-de-bord-des-personnalites-janvier-2025.pdf
ifop_202505,pt3,1018,2025-05-06,2025-05-07,polls/ifop_202505,all,https://www.ifop.com/wp-content/uploads/2025/05/tableau-de-bord-des-personnalites-mai-2025.pdf
ifop_202507,pt3,1007,2025-07-09,2025-07-10,polls/ifop_202507,all,https://www.ifop.com/wp-content/uploads/2025/07/tableau-de-bord-des-personnalites-juillet-2025-.pdf
ifop_202509,pt3,1005,2025-09-11,2025-09-13,polls/ifop_202509,all,https://www.ifop.com/wp-content/uploads/2025/09/tableau-de-bord-des-personnalites-septembre-2025.pdf
ifop_202510,pt3,1005,2025-10-09,2025-10-11,polls/ifop_202510,all,https://www.ifop.com/wp-content/uploads/2025/10/tableau-de-bord-des-personnalites-octobre-2025.pdf
ifop_202511,pt3,1003,2025-11-12,2025-11-13,polls/ifop_202511,all,https://www.ifop.com/wp-content/uploads/2025/11/tableau-de-bord-des-personnalites-novembre-2025.pdf
ifop_202601,pt3,1004,2026-01-07,2026-01-09,polls/ifop_202601,all,https://www.ifop.com/wp-content/uploads/2026/01/tableau-de-bord-des-personnalites-janvier-2026.pdf
ifop_202602,pt3,1004,2026-02-03,2026-02-07,polls/ifop_202602,all,https://www.ifop.com/wp-content/uploads/2026/02/tableau-de-bord-des-personnalites-fevrier-2026.pdf
ipsos_202511,pt1,1000,2025-11-06,2025-11-07,polls/ipsos_202511,all,
ipsos_202406,pt1,1000,2024-06-19,2024-06-29,polls/ipsos_202406,all,
ipsos_202405,pt1,1000,2024-05-15,2024-05-16,polls/ipsos_202405,all,
ipsos_202404,pt1,1000,2024-04-17,2024-04-18,polls/ipsos_202404,all,
ipsos_202403,pt1,1000,2024-03-13,2024-03-15,polls/ipsos_202403,all,
ipsos_202402,pt1,1000,2024-02-13,2024-02-15,polls/ipsos_202402,all,
ipsos_202401,pt1,1000,2024-01-17,2024-01-19,polls/ipsos_202401,all,
elabe_202510,pt2,1001,2025-10-07,2025-10-08,polls/elabe_202510,all,
elabe_202510,pt2,1001,2025-10-07,2025-10-08,polls/elabe_202510,farright,
elabe_202510,pt2,1001,2025-10-07,2025-10-08,polls/elabe_202510,absentionists,
elabe_202510,pt2,1001,2025-10-07,2025-10-08,polls/elabe_202510,left,
elabe_202510,pt2,1001,2025-10-07,2025-10-08,polls/elabe_202510,macron,
elabe_202511,pt2,1000,2025-11-04,2025-11-05,polls/elabe_202511,absentionists,
elabe_202511,pt2,1000,2025-11-04,2025-11-05,polls/elabe_202511,all,
elabe_202511,pt2,1000,2025-11-04,2025-11-05,polls/elabe_202511,farright,
elabe_202511,pt2,1000,2025-11-04,2025-11-05,polls/elabe_202511,left,
elabe_202511,pt2,1000,2025-11-04,2025-11-05,polls/elabe_202511,macron,
elabe_202512,pt2,1000,2025-12-02,2025-12-03,polls/elabe_202512,all,
elabe_202512,pt2,1000,2025-12-02,2025-12-03,polls/elabe_202512,left,
elabe_202512,pt2,1000,2025-12-02,2025-12-03,polls/elabe_202512,macron,
elabe_202512,pt2,1000,2025-12-02,2025-12-03,polls/elabe_202512,absentionists,
elabe_202512,pt2,1000,2025-12-02,2025-12-03,polls/elabe_202512,farright,
ifop_202504,pt3,1002,2024-04-09,2024-04-10,polls/ifop_202504,all,https://www.ifop.com/wp-content/uploads/2025/04/tableau-de-bord-des-personnalites-avril-2025.pdf
ipsos_202512,pt1,1000,2025-12-10,2025-12-12,polls/ipsos_202512,all,
elabe_202601,pt2,1003,2026-01-06,2026-01-07,polls/elabe_202601,all,
elabe_202601,pt2,1003,2026-01-06,2026-01-07,polls/elabe_202601,left,
elabe_202601,pt2,1003,2026-01-06,2026-01-07,polls/elabe_202601,macron,
elabe_202601,pt2,1003,2026-01-06,2026-01-07,polls/elabe_202601,absentionists,
elabe_202601,pt2,1003,2026-01-06,2026-01-07,polls/elabe_202601,farright,
ipsos_202601,pt1,1000,2026-01-14,2026-01-15,polls/ipsos_202601,all
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,all,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,macron,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,lepen,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,melenchon,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,lfi,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,ecologistes,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,pspp,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,renaissance,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,lr,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,rn,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
cluster17_202508,pt4,1752,2025-08-29,2025-09-01,polls/cluster17_202508,reconquete,https://cluster17.com/wp-content/uploads/2025/09/Barometre-questions-actu-Le-Point-Cluster17-Aout25-1.pdf
